business_name,category,city,website,phone,email,score,ai_score,ai_priority,ai_summary
Pizza Jazz,restaurant,Tunis,,,,0,0,Low,Pizza Jazz has a digital presence score of 0/100 and is classified as Low priority.
La Calèche,cafe,Tunis,http://lacaleche.tn/,+216 71 890 328,,80,80,High,La Calèche has a digital presence score of 80/100 and is classified as High priority.
مقهى الأمير,cafe,Tunis,,,,0,0,Low,مقهى الأمير has a digital presence score of 0/100 and is classified as Low priority.
Lella Aroussia,cafe,Tunis,,,,0,0,Low,Lella Aroussia has a digital presence score of 0/100 and is classified as Low priority.
La Rosa,cafe,Tunis,,,,0,0,Low,La Rosa has a digital presence score of 0/100 and is classified as Low priority.
Centre Ines,cafe,Tunis,,,,0,0,Low,Centre Ines has a digital presence score of 0/100 and is classified as Low priority.
Brooklin,cafe,Tunis,,+216 20 727 474,,30,30,Low,Brooklin has a digital presence score of 30/100 and is classified as Low priority.
Nomade,cafe,Tunis,,,,0,0,Low,Nomade has a digital presence score of 0/100 and is classified as Low priority.
La Brise,cafe,Tunis,,,,0,0,Low,La Brise has a digital presence score of 0/100 and is classified as Low priority.
بيلا فيستا,cafe,Tunis,,,,0,0,Low,بيلا فيستا has a digital presence score of 0/100 and is classified as Low priority.
Café de Tunis,cafe,Tunis,,,,0,0,Low,Café de Tunis has a digital presence score of 0/100 and is classified as Low priority.
Café El Houma,cafe,Tunis,,,,0,0,Low,Café El Houma has a digital presence score of 0/100 and is classified as Low priority.
Les Jasmins,pharmacy,Sousse,,,,0,0,Low,Les Jasmins has a digital presence score of 0/100 and is classified as Low priority.
Pharmacie Zaoui,pharmacy,Sousse,,,,0,0,Low,Pharmacie Zaoui has a digital presence score of 0/100 and is classified as Low priority.
صيدلية الليل,pharmacy,Sousse,,,,0,0,Low,صيدلية الليل has a digital presence score of 0/100 and is classified as Low priority.
صيدلية زروق,pharmacy,Sousse,,,,0,0,Low,صيدلية زروق has a digital presence score of 0/100 and is classified as Low priority.
صيدلية بوستا,pharmacy,Sousse,,,,0,0,Low,صيدلية بوستا has a digital presence score of 0/100 and is classified as Low priority.
Douik,pharmacy,Sousse,,,,0,0,Low,Douik has a digital presence score of 0/100 and is classified as Low priority.
pharmacie de nuit,pharmacy,Sousse,,,,0,0,Low,pharmacie de nuit has a digital presence score of 0/100 and is classified as Low priority.
Pharmacie Dalel Ksia Knani,pharmacy,Sousse,,,,0,0,Low,Pharmacie Dalel Ksia Knani has a digital presence score of 0/100 and is classified as Low priority.
Pharmacie de nuit,pharmacy,Sousse,,,,0,0,Low,Pharmacie de nuit has a digital presence score of 0/100 and is classified as Low priority.
Pharmacie Ibn Jazia,pharmacy,Sousse,,,,0,0,Low,Pharmacie Ibn Jazia has a digital presence score of 0/100 and is classified as Low priority.
